scenario,sim_id,tau_hat,se_hat,bias,coverage,ci_length,ci_lower,ci_upper,spurious_corr_mult,spurious_corr_linear
PLR_Naive_DML_theta_0.0,0,0.9849154691717739,0.02218795918325758,-0.01508453082822614,True,0.08697520177925933,0.9414278682821442,1.0284030700614035,0.0,0.0
PLR_BadControl_DML_theta_0.0,0,0.9879672666291535,0.022274000710574136,-0.012032733370846538,True,0.08731247836868983,0.9443110274448085,1.0316235058134984,0.0,0.0
PLR_BadControl_DML_theta_0.2,0,0.9182757826867302,0.02407269104568245,-0.08172421731326984,False,0.09436321492099498,0.8710941752262327,0.9654573901472276,0.0,0.0
PLR_Naive_OLS_theta_0.0,0,0.9853163677863203,0.022635212419921762,-0.014683632213679743,True,0.08873003268609325,0.9409513514432736,1.0296813841293668,0.0,0.0
PLR_Naive_OLS_theta_0.0,1,0.9585540458990448,0.023778061265977885,-0.041445954100955196,True,0.09321000016263326,0.9119490458177282,1.0051590459803614,0.0,0.0
PLR_Naive_OLS_theta_0.0,2,1.022329307034065,0.021896241624316925,0.022329307034065105,True,0.08583326716732242,0.979412673450404,1.0652459406177264,0.0,0.0
PLR_Naive_OLS_theta_0.0,3,0.9889754212713486,0.02262535108032683,-0.011024578728651369,True,0.08869137623488121,0.9446297331539081,1.0333211093887893,0.0,0.0
WGAN_401k_Naive_OLS_theta_0.0,0,6611.476289390964,678.897224234862,1085.2974,True,2661.277119000659,5280.837729890634,7942.114848891293,0.0,0.0
WGAN_401k_Naive_OLS_theta_0.0,1,6683.232015848181,646.8269035453534,1163.6538,True,2535.561461897785,5415.451284899288,7951.012746797073,0.0,0.0
WGAN_401k_Naive_OLS_theta_0.0,2,5829.908878977239,631.4277407025921,275.94385,True,2475.196743554161,4592.310507200158,7067.507250754319,0.0,0.0
WGAN_401k_Naive_OLS_theta_0.0,3,5883.4800849029925,612.3571151246508,320.81396,True,2400.4398912886318,4683.260139258677,7083.700030547308,0.0,0.0
PLR_Naive_DML_theta_0.0,0,0.9849154691717739,0.02218795918325758,-0.01508453082822614,True,0.08697520177925933,0.9414278682821442,1.0284030700614035,0.0,0.0
PLR_Naive_DML_theta_0.0,1,0.9693922618974634,0.02332386775867442,-0.030607738102536586,True,0.09142788157435366,0.9236783211102866,1.0151062026846402,0.0,0.0
PLR_Naive_DML_theta_0.0,2,1.0317589081917808,0.021536346335417834,0.031758908191780844,True,0.08442092635200016,0.9895484450157808,1.073969371367781,0.0,0.0
PLR_Naive_DML_theta_0.0,3,0.9768761739338141,0.0224701263014545,-0.023123826066185904,True,0.08808127655783393,0.9328355356548971,1.020916812212731,0.0,0.0
PLR_Naive_DML_theta_0.0,4,1.0335389611761148,0.022121342712056128,0.03353896117611477,True,0.08671407001059528,0.9901819261708171,1.0768959961814124,0.0,0.0
PLR_Naive_DML_theta_0.0,5,1.001267773661537,0.022804671748161368,0.001267773661536964,True,0.08939267061130884,0.9565714383558825,1.0459641089671914,0.0,0.0
PLR_Naive_DML_theta_0.0,6,0.9725798323431218,0.02086687004847102,-0.02742016765687816,True,0.08179662753016137,0.9316815185780412,1.0134781461082025,0.0,0.0
PLR_Naive_DML_theta_0.0,7,0.976040418232541,0.021941449852404177,-0.02395958176745905,True,0.08600890295860775,0.9330359667532371,1.0190448697118448,0.0,0.0
PLR_Naive_DML_theta_0.0,8,0.9745024523997731,0.023700952014158574,-0.025497547600226933,True,0.09290602469412568,0.9280494400527103,1.020955464746836,0.0,0.0
PLR_Naive_DML_theta_0.0,9,1.0242101553350678,0.022308874381824335,0.024210155335067762,True,0.08744918064800766,0.9804855650110639,1.0679347456590715,0.0,0.0
PLR_Naive_DML_theta_0.0,10,0.9930374450163372,0.022149155860929994,-0.0069625549836628275,True,0.08682309555077417,0.94962589724095,1.0364489927917242,0.0,0.0
PLR_Naive_DML_theta_0.0,11,0.9552592935380383,0.02295770022821921,-0.04474070646196171,True,0.089992531230353,0.9102630279228617,1.0002555591532147,0.0,0.0
PLR_Naive_DML_theta_0.0,12,1.0367509051060988,0.023996982238218816,0.0367509051060988,True,0.09406644184911228,0.9897176841815426,1.0837841260306549,0.0,0.0
PLR_Naive_DML_theta_0.0,13,1.0377802644929004,0.022806864295701834,0.037780264492900395,True,0.08940126523973635,0.9930796318730323,1.0824808971127686,0.0,0.0
PLR_Naive_DML_theta_0.0,14,0.9743299829271145,0.021914142601209444,-0.02567001707288552,True,0.08590186050089066,0.9313790526766691,1.0172809131775598,0.0,0.0
PLR_Naive_DML_theta_0.0,15,0.9993131080203795,0.02163163531343181,-0.0006868919796204631,True,0.08479445228206217,0.9569158818793485,1.0417103341614107,0.0,0.0
PLR_Naive_DML_theta_0.0,16,1.012511464937602,0.02259119708480996,0.012511464937601913,True,0.08855586530774762,0.9682335322837281,1.0567893975914757,0.0,0.0
PLR_Naive_DML_theta_0.0,17,1.0054016290583132,0.02295776542715939,0.0054016290583132065,True,0.08999278680550249,0.960405235655562,1.0503980224610645,0.0,0.0
PLR_Naive_DML_theta_0.0,18,1.007194312411328,0.022387523090674988,0.007194312411328063,True,0.08775747792156363,0.9633155734505462,1.0510730513721098,0.0,0.0
PLR_Naive_DML_theta_0.0,19,1.0012738845225477,0.022544204216753676,0.0012738845225477302,True,0.08837165664990676,0.9570880561975944,1.0454597128475012,0.0,0.0
PLR_Naive_DML_theta_0.0,20,0.9686298360905419,0.023127293771301953,-0.031370163909458126,True,0.0906573257032588,0.9233011732389125,1.0139584989421713,0.0,0.0
