DGP,Method,Theta,Bias_Mean,Bias_Std,Tau_Mean,Tau_Std,Tau_Var,CI_Length_Mean,Spurious_Corr_Mult_Mean,Spurious_Corr_Linear_Mean,MSE,MAE,Power,Coverage,Centered_Coverage,RMSE
PLR,BadControl_DoubleML,0.0,-0.00174239227949053,0.022681290933161753,0.9982576077205094,0.022681290933161822,0.0005144409583947286,0.08765726890719013,0.0,0.0,0.0005169624482919596,0.018301675002620116,1.0,0.953,0.952,0.022736808225693413
PLR,BadControl_DoubleML,0.2,-0.06826894924757239,0.024615096211013692,0.9317310507524276,0.024615096211013678,0.0006059029614774599,0.09520142103819294,0.0,0.0,0.005265946489883598,0.06833851789903574,1.0,0.215,0.952,0.07256684153167753
PLR,BadControl_DoubleML,0.4,-0.15214773346963267,0.02904946912780841,0.8478522665303673,0.029049469127808408,0.0008438716566074937,0.11000876709481051,0.0,0.0,0.02399196058489727,0.15214773346963267,1.0,0.0,0.947,0.15489338457434929
PLR,BadControl_DoubleML,0.6,-0.20256367095576203,0.03271757888009927,0.7974363290442379,0.03271757888009926,0.0010704399677755171,0.12243065792089651,0.0,0.0,0.04210141031888198,0.20256367095576205,1.0,0.0,0.94,0.20518628199487896
PLR,BadControl_DoubleML,0.8,-0.2329434172832462,0.035300671077944566,0.7670565827167538,0.035300671077944566,0.0012461373785532322,0.13139968710036629,0.0,0.0,0.05550752689677125,0.2329434172832462,1.0,0.0,0.939,0.23560035419491893
PLR,BadControl_DoubleML,1.0,-0.2518975361918833,0.037067798742688576,0.7481024638081167,0.037067798742688556,0.0013740217036284632,0.13777529807503086,0.0,0.0,0.06482501642146601,0.2518975361918833,1.0,0.0,0.937,0.25460757337806356
PLR,BadControl_EconML,0.0,-0.0014064563138548583,0.023553509934472402,0.9985935436861452,0.023553509934472423,0.0005547678302332911,0.3212050226515399,0.006022706517976763,0.0,0.0005561911817658396,0.01889957746744555,1.0,1.0,1.0,0.023583705853106283
PLR,BadControl_EconML,0.2,-0.07318870344155803,0.025323572100602598,0.9268112965584419,0.025323572100602616,0.0006412833039344192,0.36212847569115875,0.6078334838859744,0.0,0.005997228332086812,0.07321674326422187,1.0,1.0,1.0,0.07744177381805516
PLR,BadControl_EconML,0.4,-0.1794062539779774,0.029589072291211032,0.8205937460220225,0.029589072291211025,0.000875513199054512,0.44371494776473275,0.3702633365281638,0.0,0.033061241652265996,0.17940625397797744,1.0,0.915,1.0,0.18182750521377672
PLR,BadControl_EconML,0.6,-0.2686448180822617,0.03363254915761415,0.7313551819177383,0.03363254915761414,0.0011311483628393315,0.5234745256129095,0.19790244272538254,0.0,0.07330005549692799,0.2686448180822617,1.0,0.426,1.0,0.27073982990488854
PLR,BadControl_EconML,0.8,-0.33890606912514587,0.03716593912924471,0.6610939308748542,0.03716593912924474,0.0013813070313587255,0.5911724287907498,0.11219806988479984,0.0,0.11623724941418549,0.33890606912514587,1.0,0.13,1.0,0.34093584354565226
PLR,BadControl_EconML,1.0,-0.392267881243012,0.04031114719842403,0.6077321187569881,0.04031114719842403,0.0016249885884530096,0.6460886548962694,0.07039885096681417,0.0,0.15549745425474634,0.39226788124301204,1.0,0.048,1.0,0.3943316551517851
PLR,BadControl_OLS,0.0,-0.0004063017358908317,0.021853423956618614,0.9995936982641092,0.02185342395661867,0.00047757213862771483,0.08822949283849636,0.0,0.0,0.0004772596475896733,0.017710911118013567,1.0,0.958,0.957,0.021846273082374332
PLR,BadControl_OLS,0.2,-0.0028305187590480243,0.022184225410987184,0.997169481240952,0.02218422541098726,0.0004921398570854928,0.0890081869439826,0.0,0.0,0.0004996595536737275,0.017999162269168714,1.0,0.953,0.959,0.022353065867431417
PLR,BadControl_OLS,0.4,-0.005206186158002086,0.022477168984565397,0.9947938138419979,0.02247716898456543,0.0005052231255607101,0.09005889804401791,0.0,0.0,0.0005318222767469209,0.018490541660438668,1.0,0.952,0.961,0.023061272227414532
PLR,BadControl_OLS,0.6,-0.006260978425192951,0.02260993231580806,0.993739021574807,0.022609932315808105,0.0005112090393254237,0.09061656881675348,0.0,0.0,0.0005498976811268284,0.018786244097865397,1.0,0.948,0.958,0.023449897251946083
PLR,BadControl_OLS,0.8,-0.00675030941806734,0.022668012228909885,0.9932496905819327,0.022668012228909927,0.0005138387784100099,0.09089350106076732,0.0,0.0,0.0005588916168712476,0.018933281630918956,1.0,0.95,0.957,0.023640888665006812
PLR,BadControl_OLS,1.0,-0.007007001204776815,0.022695648275420737,0.9929929987952232,0.022695648275420775,0.0005150924506416101,0.09104295977624235,0.0,0.0,0.0005636754240747102,0.01901494355329717,1.0,0.949,0.957,0.023741849634658
PLR,LinearCollider_DoubleML,0.0,-0.001659844992423378,0.022712075507895252,0.9983401550075767,0.022712075507895276,0.0005158383738763365,0.08765605146844327,0.0,0.0,0.0005180776209013331,0.018357179606789835,1.0,0.954,0.949,0.02276131852290928
PLR,LinearCollider_DoubleML,0.2,-0.00937528219487156,0.022741044134175385,0.9906247178051284,0.022741044134175416,0.000517155088312514,0.08850679450411214,0.0,0.0,0.000604533849457676,0.019898245024542502,1.0,0.93,0.957,0.024587270069238592
PLR,LinearCollider_DoubleML,0.4,-0.03577597056437061,0.02327375782886996,0.9642240294356295,0.02327375782887,0.0005416678034768876,0.09113172420251552,0.0,0.0,0.0018210462054961208,0.03717298398844328,1.0,0.643,0.963,0.04267371797132423
PLR,LinearCollider_DoubleML,0.6,-0.08037625277628947,0.02436265082183495,0.9196237472237104,0.02436265082183497,0.0005935387550666561,0.09512433880635217,0.0,0.0,0.0070532872266695695,0.08037855632551918,1.0,0.095,0.956,0.08398385098737476
PLR,LinearCollider_DoubleML,0.8,-0.14156230462277053,0.025209674822517188,0.8584376953772294,0.025209674822517195,0.0006355277046570574,0.10003144983613493,0.0,0.0,0.020674778267062488,0.14156230462277056,1.0,0.0,0.963,0.14378726740244593
PLR,LinearCollider_DoubleML,1.0,-0.2159047632859468,0.026574654886875916,0.7840952367140531,0.026574654886875913,0.0007062122823565577,0.10540674404829245,0.0,0.0,0.047320372879634934,0.21590476328594682,1.0,0.0,0.957,0.21753246396718567
PLR,LinearCollider_EconML,0.0,-0.0013800465119969173,0.02333451902412813,0.998619953488003,0.023334519024128128,0.0005444997780873975,0.3210237646291177,0.0,0.0,0.0005458598066845858,0.018773576377247993,1.0,1.0,1.0,0.023363642838491298
PLR,LinearCollider_EconML,0.2,-0.008699854333001352,0.023445119947662508,0.9913001456669986,0.023445119947662546,0.0005496736493602842,0.32395839193262216,0.0,0.0,0.0006248114411263649,0.020053816617334682,1.0,1.0,1.0,0.024996228538048792
PLR,LinearCollider_EconML,0.4,-0.034335871759975115,0.02417562631611863,0.9656641282400249,0.02417562631611864,0.0005844609077766081,0.3335149615876864,0.0,0.0,0.0017628285363862869,0.03608469132436327,1.0,1.0,1.0,0.041986051688463
PLR,LinearCollider_EconML,0.6,-0.07847945817582727,0.025141012023075917,0.9215205418241728,0.025141012023075907,0.0006320704855444473,0.3485563653057354,0.0,0.0,0.006790463770630325,0.07849595129865646,1.0,1.0,1.0,0.08240427034219966
PLR,LinearCollider_EconML,0.8,-0.13944510702830104,0.026368376252652637,0.860554892971699,0.02636837625265263,0.0006952912662014552,0.3670092439094996,0.0,0.0,0.02013953384906959,0.13944510702830104,1.0,0.951,1.0,0.14191382543314654
PLR,LinearCollider_EconML,1.0,-0.21322223876653154,0.027696533915283494,0.7867777612334683,0.027696533915283556,0.0007670979909204523,0.38653117848589574,0.0,0.0,0.04623005399754133,0.21322223876653157,1.0,0.255,1.0,0.21501175316140586
PLR,LinearCollider_OLS,0.0,-0.00041200458210632733,0.021819872240773107,0.9995879954178937,0.02181987224077315,0.00047610682460366265,0.08823301984962614,0.0,0.0,0.00047580046555473443,0.017668143330815112,1.0,0.959,0.959,0.021812850926798504
PLR,LinearCollider_OLS,0.2,-0.009861642904251573,0.021957407456646306,0.9901383570957485,0.021957407456646334,0.00048212774221718794,0.08917722991643416,0.0,0.0,0.000578897615245945,0.019575394447424243,1.0,0.944,0.96,0.02406029125438728
PLR,LinearCollider_OLS,0.4,-0.03800456016736617,0.022519918201828994,0.9619954398326338,0.022519918201828987,0.0005071467158170685,0.09189993191310186,0.0,0.0,0.0019509861626162055,0.03894243100879194,1.0,0.615,0.964,0.044169969013077265
PLR,LinearCollider_OLS,0.6,-0.08366944294726827,0.023415706896204598,0.9163305570527317,0.0234157068962046,0.0005482953294489637,0.09601792295740082,0.0,0.0,0.007548322717225695,0.08366944294726827,1.0,0.066,0.97,0.08688108377101252
PLR,LinearCollider_OLS,0.8,-0.14503384656807872,0.02452674293303335,0.8549661534319213,0.024526742933033304,0.0006015611189030991,0.10103254792275293,0.0,0.0,0.0216357762081172,0.14503384656807872,1.0,0.0,0.971,0.14709104734183245
PLR,LinearCollider_OLS,1.0,-0.21979793849987986,0.025737751455042233,0.7802020615001202,0.025737751455042222,0.000662431849961528,0.1064483817677343,0.0,0.0,0.04897290318690854,0.21979793849987986,1.0,0.0,0.974,0.2212982222859202
PLR,Naive_DoubleML,0.0,-0.0016051599188898612,0.022632605857826428,0.9983948400811101,0.022632605857826466,0.0005122348479157209,0.08760908385479545,0.0,0.0,0.0005142991514330141,0.018249717743905734,1.0,0.949,0.95,0.022678164639869207
PLR,Naive_EconML,0.0,-0.001336250681551117,0.023307901749797452,0.9986637493184489,0.023307901749797494,0.000543258283978213,0.32320687611884513,0.0,0.0,0.0005445005915781793,0.018731175544512084,1.0,1.0,1.0,0.023334536455181177
PLR,Naive_OLS,0.0,-0.000402033041145463,0.02183182672475368,0.9995979669588545,0.021831826724753683,0.00047662865813966906,0.08818263221328947,0.0,0.0,0.0004763136600477027,0.01767918350482811,1.0,0.958,0.958,0.021824611337838362
TreeFriendly,BadControl_DoubleML,0.0,0.0015248428530283058,0.023026326604374106,1.0015248428530283,0.02302632660437412,0.0005302117168913074,0.0876982981783537,0.0,0.0,0.000532006650900848,0.018413459345831072,1.0,0.934,0.938,0.023065269365451772
TreeFriendly,BadControl_DoubleML,0.2,0.0016122496668894669,0.023117376677015616,1.0016122496668896,0.02311737667701563,0.0005344131044270261,0.0878005589128179,0.0,0.0,0.0005364780403109849,0.01851136417270087,1.0,0.938,0.937,0.02316199560294805
TreeFriendly,BadControl_DoubleML,0.4,0.0014530026928048676,0.023328105799729326,1.0014530026928048,0.023328105799729368,0.000544200520203367,0.08820282425364942,0.0,0.0,0.0005457675365084607,0.018651773750212305,1.0,0.932,0.933,0.023361668102009767
TreeFriendly,BadControl_DoubleML,0.6,0.0012040301126867929,0.023452597869799495,1.0012040301126868,0.02345259786979957,0.0005500243468425274,0.08844536236536434,0.0,0.0,0.0005509240110079384,0.018733346976552344,1.0,0.931,0.934,0.02347177051285093
TreeFriendly,BadControl_DoubleML,0.8,0.0009341625687459824,0.02349828906022024,1.000934162568746,0.023498289060220265,0.0005521695887576673,0.08857461709149884,0.0,0.0,0.0005524900788737554,0.018780052998166055,1.0,0.931,0.932,0.02350510750610929
TreeFriendly,BadControl_DoubleML,1.0,0.0008272154846514088,0.02347498672280206,1.0008272154846514,0.02347498672280209,0.0005510750016357343,0.08864219479040246,0.0,0.0,0.0005512082120921453,0.018716169792279153,1.0,0.934,0.933,0.023477823836381116
TreeFriendly,BadControl_EconML,0.0,0.0014515843458483527,0.023226516745257986,1.0014515843458482,0.02322651674525799,0.0005394710801177498,0.29746279934350706,-0.004538752490892409,0.0,0.0005410387061507452,0.0185857681536014,1.0,1.0,1.0,0.02326023873804276
TreeFriendly,BadControl_EconML,0.2,-0.02461007081024939,0.024196522269792072,0.9753899291897505,0.024196522269792076,0.0005854716899525438,0.3232645737489332,0.8800113358468976,0.0,0.0011905418035480788,0.028265289674109104,1.0,1.0,1.0,0.034504228777761124
TreeFriendly,BadControl_EconML,0.4,-0.09321506414936906,0.02534836879737657,0.9067849358506309,0.025348368797376567,0.0006425398006878139,0.35424039678030717,0.9178392415578794,0.0,0.009330945445258114,0.09321506414936905,1.0,0.999,1.0,0.09659681902246116
TreeFriendly,BadControl_EconML,0.6,-0.15595138619680435,0.026604769088466443,0.8440486138031956,0.026604769088466464,0.0007078137382506206,0.3739635390561797,0.8856553319532116,0.0,0.025027940781217197,0.15595138619680438,1.0,0.858,1.0,0.15820221484295724
TreeFriendly,BadControl_EconML,0.8,-0.20554130790148387,0.027062936191221038,0.794458692098516,0.027062936191221045,0.0007324025152901019,0.3850257974507926,0.8420348430572577,0.0,0.04297889936662741,0.2055413079014839,1.0,0.353,1.0,0.2073135291451752
TreeFriendly,BadControl_EconML,1.0,-0.2428224339251882,0.02708881219311991,0.7571775660748118,0.027088812193119895,0.0007338037460341211,0.3889095342923669,0.8021749608792599,0.0,0.05969580435964049,0.2428224339251882,1.0,0.046,1.0,0.24432724850012225
