scenario,sim_id,tau_hat,se_hat,bias,coverage,ci_length,ci_lower,ci_upper,spurious_corr_mult,spurious_corr_linear
TreeFriendly_Naive_DoubleML_theta_0.0,0,0.9589003176178917,0.02245245584331736,-0.04109968238210826,True,0.08801200963475575,0.9148943128005139,1.0029063224352697,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,1,1.0018931213317286,0.02258673865054884,0.0018931213317285867,True,0.08853838856658891,0.9576239270484341,1.046162315615023,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,2,0.9990664820388465,0.02173824314356016,-0.000933517961153485,True,0.08521234729710536,0.9564603083902938,1.0416726556873992,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,3,0.9954695069990869,0.022359137245073383,-0.004530493000913127,True,0.0876462074514639,0.9516464032733549,1.0392926107248188,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,4,0.9846618710652867,0.023661570089350263,-0.015338128934713313,True,0.09275165038559352,0.9382860458724899,1.0310376962580834,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,5,0.9860409985401345,0.02154135004856534,-0.013959001459865505,True,0.08444054054711647,0.9438207282665763,1.0282612688136927,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,6,1.0018747663362055,0.023395024902441653,0.0018747663362055356,True,0.09170681245240653,0.9560213601100023,1.0477281725624088,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,7,1.0010043049762583,0.022057386328302158,0.0010043049762582523,True,0.08646336559311685,0.9577726221796998,1.0442359877728167,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,8,1.0198427247932957,0.022022544602295913,0.01984272479329574,True,0.08632678853685372,0.9766793305248689,1.0630061190617226,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,9,0.9623962851802604,0.022088770419223865,-0.037603714819739564,True,0.08658638896890491,0.919103090695808,1.005689479664713,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,10,0.9838030154600375,0.022354753886516192,-0.016196984539962545,True,0.08762902500165692,0.939988502959209,1.027617527960866,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,11,1.0154298778896251,0.022600740790135188,0.015429877889625132,True,0.08859327594518052,0.9711332399170348,1.0597265158622153,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,12,0.9916534129369252,0.02333817859031336,-0.008346587063074784,True,0.09148397900355609,0.9459114234351472,1.0373954024387033,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,13,1.0454717976826569,0.021773977017928,0.045471797682656856,False,0.08535242151068356,1.002795586927315,1.0881480084379986,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,14,1.0228010091799578,0.021511058795793993,0.022801009179957754,True,0.08432180101815945,0.980640108670878,1.0649619096890375,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,15,0.9972064722708314,0.023932173493852255,-0.0027935277291686322,True,0.09381239623942905,0.9503002741511168,1.044112670390546,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,16,0.9973046419981693,0.021790892743195005,-0.002695358001830739,True,0.08541872993527477,0.9545952770305318,1.0400140069658066,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,17,0.9618999263184225,0.02289645142649406,-0.03810007368157753,True,0.08975244033939844,0.9170237061487233,1.0067761464881217,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,18,0.9472878666223605,0.023554997892236706,-0.05271213337763947,False,0.0923338950494017,0.9011209190976597,0.9934548141470614,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,19,1.0064272329943427,0.02170028860513889,0.006427232994342669,True,0.08506356824039452,0.9638954488741455,1.04895901711454,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,20,0.9953376352232101,0.021979305007683202,-0.00466236477678994,True,0.08615729244055959,0.9522589890029303,1.0384162814434899,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,21,1.0226505680664906,0.021374029416065584,0.022650568066490573,True,0.08378465571997651,0.9807582402065024,1.0645428959264789,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,22,0.9984086612382417,0.022658614421508346,-0.0015913387617583208,True,0.08882013641147235,0.9539985930325056,1.042818729443978,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,23,1.0092883613856247,0.020941046124775372,0.009288361385624722,True,0.08208739240630347,0.968244665182473,1.0503320575887765,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,24,0.9871087428440052,0.02260533375621629,-0.012891257155994817,True,0.08861128004138297,0.9428031028233137,1.0314143828646967,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,25,0.9824847170774906,0.023234376563731767,-0.017515282922509368,True,0.09107708253631175,0.9369461758093348,1.0280232583456466,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,26,1.018292126221808,0.021672604496984348,0.01829212622180809,True,0.08495504853054037,0.9758146019565379,1.0607696504870783,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,27,0.9858911022917952,0.02197991595472797,-0.014108897708204782,True,0.08615968730896839,0.9428112586373111,1.0289709459462795,0.0,0.0
TreeFriendly_Naive_DoubleML_theta_0.0,28,1.0183933155216665,0.023551013396270713,0.018393315521666453,True,0.09231827611222176,0.9722341774655555,1.0645524535777773,0.0,0.0
